start...
Finetuning mode
Load outputs/2023-02-12-11-33-40/trained_model/best_weight.pt...
Epoch: 84 / 3000, Score: 16200,  block: 301,  Reward: -0.1218 Cleared lines: 116, col: 53/22/5/1 
Epoch: 85 / 3000, Score: 17200,  block: 301,  Reward: 0.1851 Cleared lines: 117, col: 46/23/7/1 
Epoch: 86 / 3000, Score: 14300,  block: 301,  Reward: -1.5940 Cleared lines: 117, col: 65/23/2/0 
Epoch: 87 / 3000, Score: 15800,  block: 301,  Reward: -1.5894 Cleared lines: 115, col: 49/24/6/0 
Epoch: 88 / 3000, Score: 15500,  block: 301,  Reward: -8.9335 Cleared lines: 109, col: 51/18/6/1 
Epoch: 89 / 3000, Score: 14300,  block: 301,  Reward: -1.5631 Cleared lines: 117, col: 70/19/3/0 
Epoch: 90 / 3000, Score: 15700,  block: 301,  Reward: -1.6081 Cleared lines: 119, col: 63/19/6/0 
Epoch: 91 / 3000, Score: 12900,  block: 301,  Reward: -7.7146 Cleared lines: 105, col: 62/17/3/0 
Epoch: 92 / 3000, Score: 17800,  block: 301,  Reward: 0.5790 Cleared lines: 117, col: 51/22/2/4 
Epoch: 93 / 3000, Score: 15800,  block: 301,  Reward: 0.3304 Cleared lines: 117, col: 63/20/2/2 
Epoch: 94 / 3000, Score: 16200,  block: 301,  Reward: 1.6543 Cleared lines: 115, col: 58/21/1/3 
Epoch: 95 / 3000, Score: 12800,  block: 301,  Reward: -1.8134 Cleared lines: 115, col: 79/18/0/0 
Epoch: 96 / 3000, Score: 14800,  block: 301,  Reward: -1.3453 Cleared lines: 119, col: 66/22/3/0 
Epoch: 97 / 3000, Score: 16700,  block: 301,  Reward: -0.8710 Cleared lines: 119, col: 61/19/4/2 
Epoch: 98 / 3000, Score: 17800,  block: 301,  Reward: 2.2380 Cleared lines: 115, col: 46/21/5/3 
Epoch: 99 / 3000, Score: 15700,  block: 301,  Reward: -0.2596 Cleared lines: 116, col: 58/21/4/1 
Epoch: 100 / 3000, Score: 11600,  block: 223,  Reward: -2.3292 Cleared lines: 74, col: 23/17/3/2 
Epoch: 101 / 3000, Score: 13500,  block: 268,  Reward: -6.0839 Cleared lines: 90, col: 33/20/3/2 
Epoch: 102 / 3000, Score: 3200,  block: 107,  Reward: -3.3699 Cleared lines: 28, col: 15/5/1/0 
Epoch: 103 / 3000, Score: 4500,  block: 131,  Reward: -11.8785 Cleared lines: 37, col: 21/5/2/0 
Epoch: 104 / 3000, Score: 14400,  block: 301,  Reward: -2.3214 Cleared lines: 116, col: 70/17/4/0 
Epoch: 105 / 3000, Score: 13900,  block: 301,  Reward: -1.5401 Cleared lines: 117, col: 83/11/4/0 
Epoch: 106 / 3000, Score: 17600,  block: 301,  Reward: -0.7656 Cleared lines: 117, col: 43/23/8/1 
Epoch: 107 / 3000, Score: 15900,  block: 301,  Reward: -2.0168 Cleared lines: 113, col: 46/23/7/0 
Epoch: 108 / 3000, Score: 14800,  block: 301,  Reward: -0.9966 Cleared lines: 118, col: 68/19/4/0 
Epoch: 109 / 3000, Score: 17000,  block: 301,  Reward: -0.1075 Cleared lines: 119, col: 55/22/4/2 
Epoch: 110 / 3000, Score: 17400,  block: 301,  Reward: 1.0704 Cleared lines: 119, col: 56/21/3/3 
Epoch: 111 / 3000, Score: 5700,  block: 161,  Reward: -5.2386 Cleared lines: 48, col: 25/10/1/0 
Epoch: 112 / 3000, Score: 16400,  block: 301,  Reward: 0.1184 Cleared lines: 118, col: 60/18/6/1 
Epoch: 113 / 3000, Score: 14900,  block: 301,  Reward: -4.1928 Cleared lines: 111, col: 49/26/2/1 
Epoch: 114 / 3000, Score: 15900,  block: 301,  Reward: -1.2071 Cleared lines: 119, col: 59/21/6/0 
Epoch: 115 / 3000, Score: 13700,  block: 301,  Reward: -1.3480 Cleared lines: 117, col: 77/17/2/0 
Epoch: 116 / 3000, Score: 15100,  block: 301,  Reward: -0.5526 Cleared lines: 118, col: 61/25/1/1 
Epoch: 117 / 3000, Score: 16300,  block: 301,  Reward: -0.9552 Cleared lines: 118, col: 52/25/4/1 
Epoch: 118 / 3000, Score: 17900,  block: 301,  Reward: 1.5907 Cleared lines: 119, col: 47/23/6/2 
Epoch: 119 / 3000, Score: 14200,  block: 301,  Reward: -1.7397 Cleared lines: 115, col: 61/24/2/0 
Epoch: 120 / 3000, Score: 14500,  block: 301,  Reward: -1.9367 Cleared lines: 119, col: 67/23/2/0 
Epoch: 121 / 3000, Score: 15500,  block: 301,  Reward: -2.3921 Cleared lines: 118, col: 59/22/5/0 
Epoch: 122 / 3000, Score: 15300,  block: 301,  Reward: -2.0586 Cleared lines: 114, col: 50/27/2/1 
Epoch: 123 / 3000, Score: 15600,  block: 301,  Reward: -0.5639 Cleared lines: 113, col: 51/23/4/1 
Epoch: 124 / 3000, Score: 17600,  block: 301,  Reward: 2.1422 Cleared lines: 116, col: 48/22/4/3 
Epoch: 125 / 3000, Score: 16400,  block: 301,  Reward: 0.2236 Cleared lines: 117, col: 52/23/5/1 
Epoch: 126 / 3000, Score: 17400,  block: 301,  Reward: -1.6440 Cleared lines: 117, col: 47/21/8/1 
Epoch: 127 / 3000, Score: 15300,  block: 301,  Reward: -1.3856 Cleared lines: 113, col: 43/29/4/0 
Epoch: 128 / 3000, Score: 17000,  block: 301,  Reward: 0.3629 Cleared lines: 118, col: 58/16/8/1 
Epoch: 129 / 3000, Score: 13600,  block: 301,  Reward: -2.6357 Cleared lines: 111, col: 56/26/1/0 
Epoch: 130 / 3000, Score: 14700,  block: 301,  Reward: -1.4035 Cleared lines: 113, col: 50/27/3/0 
Epoch: 131 / 3000, Score: 10000,  block: 231,  Reward: -4.7380 Cleared lines: 79, col: 42/14/3/0 
Epoch: 132 / 3000, Score: 16600,  block: 301,  Reward: 0.6212 Cleared lines: 115, col: 46/26/3/2 
Epoch: 133 / 3000, Score: 16800,  block: 301,  Reward: 0.3159 Cleared lines: 119, col: 65/13/8/1 
Epoch: 134 / 3000, Score: 14100,  block: 301,  Reward: -2.4316 Cleared lines: 114, col: 60/24/2/0 
Epoch: 135 / 3000, Score: 15900,  block: 301,  Reward: -0.0011 Cleared lines: 116, col: 64/15/6/1 
Epoch: 136 / 3000, Score: 14500,  block: 301,  Reward: -2.0139 Cleared lines: 114, col: 67/16/5/0 
Epoch: 137 / 3000, Score: 15000,  block: 301,  Reward: -1.0241 Cleared lines: 113, col: 54/22/5/0 
Epoch: 138 / 3000, Score: 15100,  block: 301,  Reward: -7.4074 Cleared lines: 108, col: 46/23/4/1 
Epoch: 139 / 3000, Score: 14400,  block: 301,  Reward: -0.4496 Cleared lines: 113, col: 60/23/1/1 
Epoch: 140 / 3000, Score: 16600,  block: 301,  Reward: -5.4050 Cleared lines: 117, col: 57/20/4/2 
Epoch: 141 / 3000, Score: 14600,  block: 301,  Reward: -0.8836 Cleared lines: 113, col: 61/21/2/1 
Epoch: 142 / 3000, Score: 16200,  block: 301,  Reward: -1.0909 Cleared lines: 116, col: 49/23/7/0 
Epoch: 143 / 3000, Score: 16200,  block: 301,  Reward: 0.9386 Cleared lines: 118, col: 58/23/2/2 
Epoch: 144 / 3000, Score: 16500,  block: 301,  Reward: 1.0864 Cleared lines: 112, col: 53/19/3/3 
Epoch: 145 / 3000, Score: 7800,  block: 193,  Reward: -6.6639 Cleared lines: 62, col: 34/12/0/1 
Epoch: 146 / 3000, Score: 16600,  block: 301,  Reward: 0.0768 Cleared lines: 119, col: 58/22/3/2 
Epoch: 147 / 3000, Score: 15300,  block: 301,  Reward: -0.9829 Cleared lines: 115, col: 64/15/7/0 
Epoch: 148 / 3000, Score: 14200,  block: 301,  Reward: -3.0420 Cleared lines: 110, col: 61/17/5/0 
Epoch: 149 / 3000, Score: 15500,  block: 301,  Reward: -0.1211 Cleared lines: 118, col: 63/21/3/1 
Epoch: 150 / 3000, Score: 6700,  block: 141,  Reward: -4.0824 Cleared lines: 43, col: 18/7/1/2 
Epoch: 151 / 3000, Score: 14700,  block: 301,  Reward: -2.2757 Cleared lines: 112, col: 57/20/5/0 
Epoch: 152 / 3000, Score: 16300,  block: 301,  Reward: -1.3158 Cleared lines: 118, col: 53/22/7/0 
