start...
Finetuning mode
Load outputs/2023-01-23-23-33-36/trained_model/best_weight.pt...
Epoch: 112 / 10000, Score: -500,  block: 30,  Reward: -5.9 Cleared lines: 0
Epoch: 113 / 10000, Score: -500,  block: 27,  Reward: -5.4 Cleared lines: 0
Epoch: 114 / 10000, Score: -400,  block: 29,  Reward: -5.1 Cleared lines: 1
Epoch: 115 / 10000, Score: -500,  block: 27,  Reward: -4.8 Cleared lines: 0
Epoch: 116 / 10000, Score: -500,  block: 31,  Reward: -7.2 Cleared lines: 0
Epoch: 117 / 10000, Score: -400,  block: 37,  Reward: -6.6 Cleared lines: 1
Epoch: 118 / 10000, Score: -400,  block: 31,  Reward: -5.9 Cleared lines: 1
Epoch: 119 / 10000, Score: -500,  block: 28,  Reward: -5.6 Cleared lines: 0
Epoch: 120 / 10000, Score: -500,  block: 27,  Reward: -5.0 Cleared lines: 0
Epoch: 121 / 10000, Score: -200,  block: 40,  Reward: -6.5 Cleared lines: 3
Epoch: 122 / 10000, Score: -300,  block: 34,  Reward: -6.4 Cleared lines: 2
Epoch: 123 / 10000, Score: -400,  block: 37,  Reward: -7.2 Cleared lines: 1
Epoch: 124 / 10000, Score: -300,  block: 37,  Reward: -5.8 Cleared lines: 2
Epoch: 125 / 10000, Score: -400,  block: 34,  Reward: -5.7 Cleared lines: 1
Epoch: 126 / 10000, Score: -400,  block: 35,  Reward: -6.3 Cleared lines: 1
Epoch: 127 / 10000, Score: -300,  block: 33,  Reward: -5.8 Cleared lines: 2
Epoch: 128 / 10000, Score: -500,  block: 33,  Reward: -6.4 Cleared lines: 0
Epoch: 129 / 10000, Score: -500,  block: 37,  Reward: -6.6 Cleared lines: 0
Epoch: 130 / 10000, Score: -200,  block: 41,  Reward: -7.0 Cleared lines: 3
Epoch: 131 / 10000, Score: -400,  block: 28,  Reward: -5.6 Cleared lines: 1
Epoch: 132 / 10000, Score: -400,  block: 36,  Reward: -7.2 Cleared lines: 1
Epoch: 133 / 10000, Score: -400,  block: 26,  Reward: -4.2 Cleared lines: 1
Epoch: 134 / 10000, Score: -400,  block: 35,  Reward: -6.8 Cleared lines: 1
Epoch: 135 / 10000, Score: -300,  block: 42,  Reward: -7.2 Cleared lines: 2
Epoch: 136 / 10000, Score: -400,  block: 27,  Reward: -4.8 Cleared lines: 1
Epoch: 137 / 10000, Score: -400,  block: 40,  Reward: -7.4 Cleared lines: 1
Epoch: 138 / 10000, Score: -500,  block: 29,  Reward: -4.6 Cleared lines: 0
Epoch: 139 / 10000, Score: -500,  block: 34,  Reward: -6.1 Cleared lines: 0
Epoch: 140 / 10000, Score: -200,  block: 38,  Reward: -9.0 Cleared lines: 3
Epoch: 141 / 10000, Score: -200,  block: 46,  Reward: -9.0 Cleared lines: 3
Epoch: 142 / 10000, Score: -400,  block: 34,  Reward: -6.4 Cleared lines: 1
Epoch: 143 / 10000, Score: -500,  block: 32,  Reward: -5.6 Cleared lines: 0
Epoch: 144 / 10000, Score: -400,  block: 36,  Reward: -6.2 Cleared lines: 1
Epoch: 145 / 10000, Score: -500,  block: 26,  Reward: -4.6 Cleared lines: 0
Epoch: 146 / 10000, Score: -200,  block: 41,  Reward: -6.2 Cleared lines: 3
Epoch: 147 / 10000, Score: -400,  block: 30,  Reward: -5.0 Cleared lines: 1
Epoch: 148 / 10000, Score: -400,  block: 39,  Reward: -6.8 Cleared lines: 1
Epoch: 149 / 10000, Score: 0,  block: 37,  Reward: -5.0 Cleared lines: 5
Epoch: 150 / 10000, Score: -100,  block: 49,  Reward: -8.3 Cleared lines: 4
Epoch: 151 / 10000, Score: -200,  block: 45,  Reward: -7.5 Cleared lines: 3
Epoch: 152 / 10000, Score: -100,  block: 33,  Reward: -5.7 Cleared lines: 4
Epoch: 153 / 10000, Score: -400,  block: 32,  Reward: -6.5 Cleared lines: 1
Epoch: 154 / 10000, Score: -300,  block: 32,  Reward: -6.7 Cleared lines: 2
Epoch: 155 / 10000, Score: -100,  block: 48,  Reward: -7.7 Cleared lines: 4
Epoch: 156 / 10000, Score: -400,  block: 38,  Reward: -6.6 Cleared lines: 1
Epoch: 157 / 10000, Score: 200,  block: 47,  Reward: -6.9 Cleared lines: 6
Epoch: 158 / 10000, Score: -500,  block: 31,  Reward: -6.6 Cleared lines: 0
Epoch: 159 / 10000, Score: -500,  block: 20,  Reward: -4.4 Cleared lines: 0
Epoch: 160 / 10000, Score: -400,  block: 37,  Reward: -6.1 Cleared lines: 1
Epoch: 161 / 10000, Score: -200,  block: 43,  Reward: -7.7 Cleared lines: 3
Epoch: 162 / 10000, Score: -400,  block: 37,  Reward: -7.2 Cleared lines: 1
Epoch: 163 / 10000, Score: -500,  block: 31,  Reward: -6.2 Cleared lines: 0
Epoch: 164 / 10000, Score: -300,  block: 44,  Reward: -8.2 Cleared lines: 2
Epoch: 165 / 10000, Score: -300,  block: 34,  Reward: -5.7 Cleared lines: 2
Epoch: 166 / 10000, Score: -500,  block: 31,  Reward: -5.8 Cleared lines: 0
Epoch: 167 / 10000, Score: -300,  block: 39,  Reward: -6.8 Cleared lines: 2
Epoch: 168 / 10000, Score: -200,  block: 34,  Reward: -5.3 Cleared lines: 3
Epoch: 169 / 10000, Score: -200,  block: 40,  Reward: -8.0 Cleared lines: 3
Epoch: 170 / 10000, Score: -200,  block: 45,  Reward: -8.7 Cleared lines: 3
Epoch: 171 / 10000, Score: 100,  block: 52,  Reward: -8.4 Cleared lines: 5
Epoch: 172 / 10000, Score: -300,  block: 36,  Reward: -5.8 Cleared lines: 2
Epoch: 173 / 10000, Score: -300,  block: 40,  Reward: -7.4 Cleared lines: 2
Epoch: 174 / 10000, Score: -300,  block: 34,  Reward: -6.9 Cleared lines: 2
Epoch: 175 / 10000, Score: -300,  block: 43,  Reward: -6.8 Cleared lines: 2
Epoch: 176 / 10000, Score: -100,  block: 43,  Reward: -7.5 Cleared lines: 3
Epoch: 177 / 10000, Score: -500,  block: 30,  Reward: -6.2 Cleared lines: 0
Epoch: 178 / 10000, Score: -100,  block: 48,  Reward: -8.2 Cleared lines: 4
Epoch: 179 / 10000, Score: -400,  block: 35,  Reward: -6.9 Cleared lines: 1
Epoch: 180 / 10000, Score: -500,  block: 32,  Reward: -6.1 Cleared lines: 0
Epoch: 181 / 10000, Score: -300,  block: 40,  Reward: -6.8 Cleared lines: 2
Epoch: 182 / 10000, Score: 100,  block: 45,  Reward: -8.3 Cleared lines: 6
Epoch: 183 / 10000, Score: -300,  block: 40,  Reward: -7.2 Cleared lines: 2
Epoch: 184 / 10000, Score: -500,  block: 22,  Reward: -4.2 Cleared lines: 0
Epoch: 185 / 10000, Score: -300,  block: 37,  Reward: -7.0 Cleared lines: 2
Epoch: 186 / 10000, Score: -400,  block: 40,  Reward: -6.8 Cleared lines: 1
Epoch: 187 / 10000, Score: -400,  block: 40,  Reward: -6.4 Cleared lines: 1
Epoch: 188 / 10000, Score: -200,  block: 38,  Reward: -6.4 Cleared lines: 3
Epoch: 189 / 10000, Score: -500,  block: 26,  Reward: -4.6 Cleared lines: 0
Epoch: 190 / 10000, Score: 200,  block: 44,  Reward: -6.6 Cleared lines: 7
Epoch: 191 / 10000, Score: -300,  block: 33,  Reward: -4.6 Cleared lines: 2
Epoch: 192 / 10000, Score: -400,  block: 38,  Reward: -6.7 Cleared lines: 1
Epoch: 193 / 10000, Score: 0,  block: 40,  Reward: -6.8 Cleared lines: 5
Epoch: 194 / 10000, Score: -100,  block: 38,  Reward: -5.7 Cleared lines: 4
Epoch: 195 / 10000, Score: -200,  block: 41,  Reward: -7.2 Cleared lines: 3
Epoch: 196 / 10000, Score: -400,  block: 37,  Reward: -6.8 Cleared lines: 1
Epoch: 197 / 10000, Score: -300,  block: 37,  Reward: -6.1 Cleared lines: 2
Epoch: 198 / 10000, Score: -200,  block: 36,  Reward: -5.7 Cleared lines: 3
Epoch: 199 / 10000, Score: -300,  block: 39,  Reward: -7.2 Cleared lines: 2
Epoch: 200 / 10000, Score: -400,  block: 37,  Reward: -6.1 Cleared lines: 1
Epoch: 201 / 10000, Score: -400,  block: 34,  Reward: -5.8 Cleared lines: 1
Epoch: 202 / 10000, Score: -400,  block: 27,  Reward: -5.2 Cleared lines: 1
Epoch: 203 / 10000, Score: -500,  block: 23,  Reward: -4.4 Cleared lines: 0
Epoch: 204 / 10000, Score: -300,  block: 40,  Reward: -6.7 Cleared lines: 2
Epoch: 205 / 10000, Score: -500,  block: 35,  Reward: -6.9 Cleared lines: 0
Epoch: 206 / 10000, Score: 0,  block: 51,  Reward: -7.9 Cleared lines: 5
Epoch: 207 / 10000, Score: -400,  block: 33,  Reward: -6.8 Cleared lines: 1
Epoch: 208 / 10000, Score: 0,  block: 41,  Reward: -5.4 Cleared lines: 5
Epoch: 209 / 10000, Score: -500,  block: 24,  Reward: -4.5 Cleared lines: 0
Epoch: 210 / 10000, Score: 0,  block: 44,  Reward: -6.1 Cleared lines: 5
Epoch: 211 / 10000, Score: 500,  block: 52,  Reward: -6.6 Cleared lines: 9
Epoch: 212 / 10000, Score: -400,  block: 38,  Reward: -7.2 Cleared lines: 1
Epoch: 213 / 10000, Score: -500,  block: 33,  Reward: -6.6 Cleared lines: 0
Epoch: 214 / 10000, Score: 0,  block: 48,  Reward: -8.1 Cleared lines: 5
Epoch: 215 / 10000, Score: -500,  block: 31,  Reward: -6.9 Cleared lines: 0
Epoch: 216 / 10000, Score: -200,  block: 42,  Reward: -7.8 Cleared lines: 3
Epoch: 217 / 10000, Score: -300,  block: 32,  Reward: -4.7 Cleared lines: 2
Epoch: 218 / 10000, Score: -300,  block: 34,  Reward: -6.2 Cleared lines: 2
Epoch: 219 / 10000, Score: -400,  block: 34,  Reward: -6.9 Cleared lines: 1
Epoch: 220 / 10000, Score: -500,  block: 35,  Reward: -6.9 Cleared lines: 0
Epoch: 221 / 10000, Score: -500,  block: 28,  Reward: -5.0 Cleared lines: 0
Epoch: 222 / 10000, Score: -200,  block: 40,  Reward: -6.0 Cleared lines: 3
Epoch: 223 / 10000, Score: -400,  block: 32,  Reward: -5.8 Cleared lines: 1
Epoch: 224 / 10000, Score: -400,  block: 19,  Reward: -3.8 Cleared lines: 1
Epoch: 225 / 10000, Score: -300,  block: 36,  Reward: -6.7 Cleared lines: 2
Epoch: 226 / 10000, Score: 0,  block: 45,  Reward: -7.8 Cleared lines: 4
Epoch: 227 / 10000, Score: -400,  block: 39,  Reward: -6.7 Cleared lines: 1
Epoch: 228 / 10000, Score: -100,  block: 44,  Reward: -7.1 Cleared lines: 4
Epoch: 229 / 10000, Score: -500,  block: 23,  Reward: -4.4 Cleared lines: 0
Epoch: 230 / 10000, Score: -300,  block: 34,  Reward: -5.2 Cleared lines: 2
Epoch: 231 / 10000, Score: -300,  block: 35,  Reward: -6.6 Cleared lines: 2
Epoch: 232 / 10000, Score: -500,  block: 31,  Reward: -5.8 Cleared lines: 0
Epoch: 233 / 10000, Score: -500,  block: 33,  Reward: -6.2 Cleared lines: 0
Epoch: 234 / 10000, Score: -500,  block: 25,  Reward: -4.9 Cleared lines: 0
Epoch: 235 / 10000, Score: -100,  block: 48,  Reward: -7.6 Cleared lines: 4
Epoch: 236 / 10000, Score: -400,  block: 35,  Reward: -6.5 Cleared lines: 1
Epoch: 237 / 10000, Score: -400,  block: 39,  Reward: -7.2 Cleared lines: 1
Epoch: 238 / 10000, Score: -100,  block: 41,  Reward: -7.4 Cleared lines: 3
Epoch: 239 / 10000, Score: -500,  block: 25,  Reward: -4.6 Cleared lines: 0
Epoch: 240 / 10000, Score: -500,  block: 24,  Reward: -5.3 Cleared lines: 0
Epoch: 241 / 10000, Score: -500,  block: 33,  Reward: -5.8 Cleared lines: 0
Epoch: 242 / 10000, Score: 200,  block: 52,  Reward: -7.8 Cleared lines: 6
