start...
Finetuning mode
Load outputs/2023-02-12-11-33-40/trained_model/best_weight.pt...
Epoch: 167 / 3000, Score: 10300,  block: 209,  Reward: -1.8154 Cleared lines: 73, col: 37/10/4/1 
Epoch: 168 / 3000, Score: 15200,  block: 301,  Reward: 1.0323 Cleared lines: 117, col: 61/23/2/1 
Epoch: 169 / 3000, Score: 15300,  block: 301,  Reward: 0.8640 Cleared lines: 116, col: 51/29/1/1 
Epoch: 170 / 3000, Score: 16300,  block: 301,  Reward: 3.4358 Cleared lines: 114, col: 59/16/5/2 
Epoch: 171 / 3000, Score: 15900,  block: 301,  Reward: 1.0352 Cleared lines: 117, col: 58/19/7/0 
Epoch: 172 / 3000, Score: 14000,  block: 301,  Reward: -0.4891 Cleared lines: 109, col: 52/24/3/0 
Epoch: 173 / 3000, Score: 17000,  block: 301,  Reward: -1.5438 Cleared lines: 108, col: 46/16/6/3 
Epoch: 174 / 3000, Score: 17100,  block: 301,  Reward: 0.3776 Cleared lines: 114, col: 44/21/8/1 
Epoch: 175 / 3000, Score: 14400,  block: 301,  Reward: 0.1615 Cleared lines: 118, col: 66/23/2/0 
Epoch: 176 / 3000, Score: 15700,  block: 301,  Reward: 1.4784 Cleared lines: 117, col: 62/17/7/0 
Epoch: 177 / 3000, Score: 15100,  block: 301,  Reward: -1.5191 Cleared lines: 114, col: 55/22/5/0 
Epoch: 178 / 3000, Score: 14400,  block: 301,  Reward: 0.6240 Cleared lines: 116, col: 70/17/4/0 
Epoch: 179 / 3000, Score: 16600,  block: 301,  Reward: 0.9314 Cleared lines: 116, col: 45/26/5/1 
Epoch: 180 / 3000, Score: 9400,  block: 232,  Reward: -15.4952 Cleared lines: 78, col: 51/9/3/0 
Epoch: 181 / 3000, Score: 16500,  block: 301,  Reward: 3.2295 Cleared lines: 119, col: 65/17/4/2 
Epoch: 182 / 3000, Score: 14700,  block: 301,  Reward: 0.9347 Cleared lines: 115, col: 60/24/1/1 
Epoch: 183 / 3000, Score: 13100,  block: 281,  Reward: -6.7786 Cleared lines: 96, col: 41/20/5/0 
Epoch: 184 / 3000, Score: 16100,  block: 301,  Reward: 1.8476 Cleared lines: 119, col: 69/14/6/1 
Epoch: 185 / 3000, Score: 15000,  block: 301,  Reward: 0.0608 Cleared lines: 119, col: 67/20/4/0 
Epoch: 186 / 3000, Score: 16100,  block: 301,  Reward: 1.9154 Cleared lines: 119, col: 54/26/3/1 
Epoch: 187 / 3000, Score: 16500,  block: 301,  Reward: 2.5076 Cleared lines: 118, col: 53/23/5/1 
Epoch: 188 / 3000, Score: 13300,  block: 301,  Reward: -7.4229 Cleared lines: 109, col: 61/21/2/0 
Epoch: 189 / 3000, Score: 14600,  block: 301,  Reward: 0.3160 Cleared lines: 118, col: 67/21/3/0 
Epoch: 190 / 3000, Score: 16200,  block: 301,  Reward: 2.5317 Cleared lines: 117, col: 56/21/5/1 
Epoch: 191 / 3000, Score: 14900,  block: 301,  Reward: 0.7280 Cleared lines: 116, col: 60/22/4/0 
Epoch: 192 / 3000, Score: 15600,  block: 301,  Reward: 1.4828 Cleared lines: 118, col: 56/26/2/1 
Epoch: 193 / 3000, Score: 16600,  block: 301,  Reward: 3.1371 Cleared lines: 119, col: 68/14/5/2 
Epoch: 194 / 3000, Score: 18300,  block: 301,  Reward: 4.5244 Cleared lines: 116, col: 48/20/4/4 
Epoch: 195 / 3000, Score: 17200,  block: 301,  Reward: 3.6550 Cleared lines: 114, col: 46/21/6/2 
Epoch: 196 / 3000, Score: 14600,  block: 301,  Reward: 0.0940 Cleared lines: 119, col: 69/23/0/1 
Epoch: 197 / 3000, Score: 14600,  block: 301,  Reward: -3.4090 Cleared lines: 110, col: 48/25/4/0 
Epoch: 198 / 3000, Score: 15900,  block: 301,  Reward: 2.2036 Cleared lines: 116, col: 53/26/1/2 
Epoch: 199 / 3000, Score: 15200,  block: 301,  Reward: -1.0719 Cleared lines: 112, col: 47/25/5/0 
Epoch: 200 / 3000, Score: 17100,  block: 301,  Reward: 3.7375 Cleared lines: 119, col: 67/14/4/3 
Epoch: 201 / 3000, Score: 18200,  block: 301,  Reward: 4.6104 Cleared lines: 118, col: 47/22/5/3 
Epoch: 202 / 3000, Score: 15900,  block: 301,  Reward: -3.0837 Cleared lines: 113, col: 59/17/4/2 
Epoch: 203 / 3000, Score: 14400,  block: 301,  Reward: -2.2099 Cleared lines: 111, col: 55/22/4/0 
Epoch: 204 / 3000, Score: 16400,  block: 301,  Reward: 2.6332 Cleared lines: 117, col: 57/19/6/1 
Epoch: 205 / 3000, Score: 16800,  block: 301,  Reward: 2.7153 Cleared lines: 119, col: 49/28/2/2 
Epoch: 206 / 3000, Score: 14300,  block: 301,  Reward: 0.4741 Cleared lines: 117, col: 70/19/3/0 
Epoch: 207 / 3000, Score: 14400,  block: 301,  Reward: 0.1000 Cleared lines: 116, col: 60/25/2/0 
Epoch: 208 / 3000, Score: 16300,  block: 301,  Reward: 1.8498 Cleared lines: 111, col: 45/23/4/2 
Epoch: 209 / 3000, Score: 17400,  block: 301,  Reward: 3.4645 Cleared lines: 118, col: 53/22/3/3 
Epoch: 210 / 3000, Score: 17300,  block: 301,  Reward: 2.6503 Cleared lines: 119, col: 51/19/10/0 
Epoch: 211 / 3000, Score: 15100,  block: 301,  Reward: 1.0838 Cleared lines: 119, col: 70/17/5/0 
Epoch: 212 / 3000, Score: 17000,  block: 301,  Reward: -12.7174 Cleared lines: 110, col: 37/26/3/3 
Epoch: 213 / 3000, Score: 16300,  block: 301,  Reward: 2.4484 Cleared lines: 117, col: 58/21/3/2 
Epoch: 214 / 3000, Score: 13900,  block: 301,  Reward: -0.9162 Cleared lines: 114, col: 54/30/0/0 
Epoch: 215 / 3000, Score: 16800,  block: 301,  Reward: 2.9062 Cleared lines: 116, col: 54/22/2/3 
Epoch: 216 / 3000, Score: 16300,  block: 301,  Reward: 2.0684 Cleared lines: 119, col: 50/28/3/1 
Epoch: 217 / 3000, Score: 14900,  block: 301,  Reward: 1.1309 Cleared lines: 118, col: 70/19/2/1 
Epoch: 218 / 3000, Score: 15300,  block: 301,  Reward: 0.8679 Cleared lines: 118, col: 62/23/2/1 
Epoch: 219 / 3000, Score: 16200,  block: 301,  Reward: 2.3474 Cleared lines: 116, col: 58/18/6/1 
Epoch: 220 / 3000, Score: 15000,  block: 301,  Reward: 0.1213 Cleared lines: 118, col: 59/25/3/0 
Epoch: 221 / 3000, Score: 13000,  block: 301,  Reward: -1.9847 Cleared lines: 112, col: 71/19/1/0 
Epoch: 222 / 3000, Score: 15300,  block: 301,  Reward: 0.4520 Cleared lines: 108, col: 42/25/4/1 
Epoch: 223 / 3000, Score: 14900,  block: 301,  Reward: 0.4908 Cleared lines: 116, col: 55/26/3/0 
Epoch: 224 / 3000, Score: 13900,  block: 301,  Reward: 0.2115 Cleared lines: 119, col: 83/16/0/1 
Epoch: 225 / 3000, Score: 14900,  block: 301,  Reward: 1.5008 Cleared lines: 117, col: 67/20/2/1 
Epoch: 226 / 3000, Score: 15000,  block: 301,  Reward: -7.6393 Cleared lines: 106, col: 46/23/2/2 
Epoch: 227 / 3000, Score: 16000,  block: 301,  Reward: 2.4160 Cleared lines: 118, col: 62/21/2/2 
Epoch: 228 / 3000, Score: 15100,  block: 301,  Reward: 1.2460 Cleared lines: 118, col: 67/18/5/0 
Epoch: 229 / 3000, Score: 15200,  block: 301,  Reward: 1.0637 Cleared lines: 112, col: 56/20/4/1 
Epoch: 230 / 3000, Score: 15100,  block: 301,  Reward: -0.6842 Cleared lines: 110, col: 48/22/6/0 
Epoch: 231 / 3000, Score: 14100,  block: 301,  Reward: -0.1368 Cleared lines: 114, col: 65/20/3/0 
Epoch: 232 / 3000, Score: 14300,  block: 301,  Reward: 0.7638 Cleared lines: 115, col: 69/17/4/0 
Epoch: 233 / 3000, Score: 15100,  block: 301,  Reward: -8.6916 Cleared lines: 115, col: 62/20/3/1 
Epoch: 234 / 3000, Score: 16300,  block: 301,  Reward: 0.9172 Cleared lines: 114, col: 55/17/7/1 
Epoch: 235 / 3000, Score: 16400,  block: 301,  Reward: 2.1144 Cleared lines: 117, col: 57/19/6/1 
